fecha	hash_original	hash_nuevo	corto_original	corto_nuevo	asunto
2026-07-18	0f9caf61c5034755f6f8fd3bfd7851a0fac17323	44730c5dd48132b9e831d530de0fa60fd7dbac4f	0f9caf6	44730c5	perf(ingestion): consumidores paralelos, upsert sin espera y filtro de micro-chunks
2026-07-18	32766fb11b68683a176c547a4eccbcb089ff03da	c8d3780c349a2bf9b971ba07b94fdfb38f82f06e	32766fb	c8d3780	feat(vectorization): cerebro denso multilingüe con estrategia dual de tokenizer
2026-07-18	3a1e0343102d4086014fca018ff1d234e14bd11c	cc0d5577fdbd078390dd74568038c9e720858ad5	3a1e034	cc0d557	docs: nuevo README orientado a usuario y documentación formal en docs/
2026-07-18	46999b62c92b88e3ecb5288702c7eca45705e3a2	fa857eaea5c4cc02b95996790a8e3a916943f1d7	46999b6	fa857ea	fix(retrieval): restaurar min-score como scoreThreshold denso y ampliar pool RRF
2026-07-18	4b5c2b6e7227199e383b312739e6f790f495fa3c	3e8f1b2d8191ec9b9d55a99ed1e1789ed86e84c3	4b5c2b6	3e8f1b2	feat(vectorization): normalización léxica ES/EN y TF saturado en SparseTokenizer
2026-07-18	4c7c40868e4d77b5da6bd76ff4619152463d4cbe	7063356af0ab3f8e2cbdcc3193a9577fb9400af4	4c7c408	7063356	fix(chunking): cabeceras de clase completas reconstruidas desde el AST
2026-07-18	6363e69f1063e4650cd2a668451bd851939c950f	adcce296b0c4984752c8a614c8b4358ad8440e5d	6363e69	adcce29	docs(fases): actualizar plan de proyecto con hallazgos y refactors del Sprint 7
2026-07-18	8b2170a54f0fae68a3716b9c3b49f761a6425429	b9dd824353e551c774c3692bb3d167275ff07607	8b2170a	b9dd824	fix(generation): no truncar el contexto tras un chunk sobredimensionado
2026-07-18	ba775e38ec8bb14ff723df94ba280f6b3adff95f	71097a2f79bf0e48a164ddc3c4683cdb71d2d604	ba775e3	71097a2	fix(generation): enseñar al LLM a traducir la semántica de atributos declarativos
2026-07-18	bfcfc4713d2bd527e9151b5cfde7771b8b0aac66	75e0865b04b10516b8e49cca4828757bcad32f89	bfcfc47	75e0865	fix(cli): apagado determinista del host y menos ruido de consola
2026-07-18	eb01a23e20a1ff553492290046e088a5100e0a72	bc045ccd7ac9b6b3601464bddef48fd060400047	eb01a23	bc045cc	docs: patrón de preguntas verificado empíricamente y límites cross-lingües
2026-07-20	1b9918affd38a5a2f955ca27b8cd7fdc1da280b2	75375af81249129d1cd1306398e8e86c7c767386	1b9918a	75375af	feat(poc): PoC offline de búsqueda libre (RRF con vector de resumen)
2026-07-20	39c817bb5909927da1d05c8bf52693da30e264e3	f40282867c2ce4ce6b77070ec8b2ac559388f504	39c817b	f402828	feat(poc): comparación de tres vías con rama sparse (BM25)
2026-07-20	a2fe2544bbc4e1efd0022b01453101e3b738cec4	b2439250d6e8226d497a11c26c5956165b047040	a2fe254	b243925	feat(retrieval): activar re-ranking Cross-Encoder tras la fusión RRF
2026-07-20	a4bf68726d84dd0030b3773b6b59f2211f1de98d	18cfc135ae37a8f0032f89cca1b7e090198be243	a4bf687	18cfc13	docs: documentar el re-ranker Cross-Encoder y cerrar el Sprint 8
2026-07-20	a5ca2ddaafe590cdb834d03eea756e6d2d678ce4	bffe723bad005bb721901534024fdac017738ed4	a5ca2dd	bffe723	docs(analisis-futuro): propuesta de búsqueda libre con RRF a 3 bandas
2026-07-20	c8b12776bcf698850a09f27b8de8fce5849d7ccc	be98033fb082ac171bed6f90c9f8f72ca16e3631	c8b1277	be98033	docs: aclarar que ediciones a archivos ingestados exigen re-ingesta completa
2026-07-21	74739ef20136e67921c2ba69d4243c2560c81a60	372e12943cad1aa85e676e7e4e53ba5d328357b0	74739ef	372e129	docs(poc): volcado de resultados + modo detalle por pregunta
2026-07-21	8db36067ef29afbc647bcfae7f88371023c7148b	34d20a9fd9799d5131b97a8553ff6e4a603fb005	8db3606	34d20a9	feat(api): exponer el motor RAG por HTTP para uso en red del equipo
2026-07-21	b3dd2f7614fb3d658a46b186a3f99c512c167fed	22211eba934362f8398042858a6adb951fb0688a	b3dd2f7	22211eb	feat(api): chat multi-turno stateless + rediseño de la UI al estilo chat
2026-07-21	cee34d822856480507a41731621b74642f7dd8e8	a1aa27296f3bd41aeaec777d9569a1f26d16a6af	cee34d8	a1aa272	feat(generation): elegir system prompt de código o docs según los chunks recuperados
2026-07-21	fafa625c2e2a91451fc02f8b40bdfc360a1a2f7e	33d19a5c56e091a64e1e7d92f4d4c45c35867cf1	fafa625	33d19a5	feat(api): selector de colección en la página en vez de valor fijo
2026-07-22	1b08239ddd6340a9fe5619c0c7e63c1536b75d5f	bf4ab3c5f33f7ac456831956bbf636000d2951dc	1b08239	bf4ab3c	refactor(guardrail): reemplaza el regex de meta-intención por un clasificador semántico
2026-07-22	34600625728188181be8396429cde7a9089868d5	2058f92c69c18ddd63b7bb3ec72ac37ee2574eae	3460062	2058f92	feat(guardrail): implementa el gate de confianza en 3 niveles del chat RAG
2026-07-22	4464d4ec2680b965ce610eb3286a9e329fc649e0	b8414c4aa24731b292be421a095b645aa306af45	4464d4e	b8414c4	docs(guardrail): propuesta de gate de confianza en 3 niveles para el chat RAG
2026-07-22	644b67449c1e8f1c9e26a37e483a1c553db74692	943d6ac56b4c55928a569228b5c79e2b6ccf876b	644b674	943d6ac	fix(api): no mostrar fuentes cuando la respuesta no las usó
2026-07-23	c35f614dfcfc124c92aa1e84a620aa7c76314f16	ac1e5ab0ae9c03608acd431890f8c25cbcbb183d	c35f614	ac1e5ab	feat(guardrail): banda baja conversacional en vez de mensaje fijo
2026-07-23	ca2bd64fa2daeea39c2d1172827037c3bc2a594a	7be6c99443a5fd4edc721d13d5a06623b0ea6713	ca2bd64	7be6c99	docs(guardrail): propuesta de banda baja conversacional en vez de mensaje fijo
2026-07-29	3ae644b68513e666e67e35f8fbc31a7f9e27bc91	46f70fd9ba823f06cb9df402af96e6b6633ebcd7	3ae644b	46f70fd	feat(cli): agrega comando `rag eval` para medir recall@k contra ground-truth
2026-07-29	55e1ebe75b3a563561ceb9eed4ee5753a353f178	49aeac0b2019a620d6461507d0f6912b1fcf823d	55e1ebe	49aeac0	docs(retrieval): consolida hueco de parafraseada + no-determinismo de Qdrant
2026-07-29	627520d0a33fea64c63016d02771e5891353cb50	d9672ef998a7e5487c816c2cc51a61cb549165e3	627520d	d9672ef	docs(poc): asienta resultados de rerank y calibración de pesos RRF
2026-07-29	d9ba1301a4c1ebaf5fa60b7f162477349796476e	1d5922da8b4fae76d4993050df5af0c32d718928	d9ba130	1d5922d	feat(poc): agrega rerank y barrido de pesos RRF al PoC de búsqueda libre
2026-07-29	f9d79f0a7b59e38fc0597fcd0d13f345ea470de1	729e2bec8bba27eb8d458a1bbc9a01f074ae6af8	f9d79f0	729e2be	docs(retrieval): resuelve el bloqueo de membresía del no-determinismo de Qdrant
2026-07-31	091c4c094720862d37ca23123ed0cc3bcb2e59b5	3cf437fae523018f672846c2f66f60698eaa03d4	091c4c0	3cf437f	docs(eval): documenta throughput medido antes de escalar a bsuite-repo
